Type	Level	Damage per second	Damage per shot	Hitpoints	Cost Gold	Cost Dark Elixir	Sell Gold	Sell Dark Elixir	Upgrade Time	Experience Gained	Town Hall Level Required	Object Type	Cost To Load	PrefabName	DisplayName	NumTileOneSide	HasBase
1	10	65	65	720	3125000	0	0	0	7200	720	8	4	0	ArchersNest	Archers Nest	3	1
1	11	75	75	750	6250000	0	0	0	8640	777	9	4	0	ArchersNest	Archers Nest	3	1
2	1	4	20	400	10000	0	0	0	480	169	3	4	0	Catapult	Catapult	3	1
2	2	5	25	450	40000	0	0	0	720	207	4	4	0	Catapult	Catapult	3	1
2	3	6	30	500	150000	0	0	0	1440	293	5	4	0	Catapult	Catapult	3	1
2	4	7	35	550	500000	0	0	0	2880	415	6	4	0	Catapult	Catapult	3	1
2	5	8	40	590	1000000	0	0	0	5760	587	7	4	0	Catapult	Catapult	3	1
2	6	9	45	610	2000000	0	0	0	7200	657	8	4	0	Catapult	Catapult	3	1
2	7	11	55	640	4000000	0	0	0	10080	777	9	4	0	Catapult	Catapult	3	1
3	1	80	80	800	28125	0	0	0	300	134	4	4	0	RockThrower	Rock Thrower	3	1
3	2	110	110	860	112500	0	0	0	1440	293	4	4	0	RockThrower	Rock Thrower	3	1
3	3	140	140	900	337500	0	0	0	4320	509	5	4	0	RockThrower	Rock Thrower	3	1
3	4	160	160	940	675000	0	0	0	7200	657	6	4	0	RockThrower	Rock Thrower	3	1
3	5	190	190	990	1350000	0	0	0	8640	720	7	4	0	RockThrower	Rock Thrower	3	1
3	6	230	230	1040	2700000	0	0	0	11520	831	8	4	0	RockThrower	Rock Thrower	3	1
3	7	280	280	1100	5400000	0	0	0	14400	929	9	4	0	RockThrower	Rock Thrower	3	1
4	1	11	14	620	225000	0	0	0	720	207	5	4	0	BomberTower	Bomber Tower	3	1
4	2	13	17	660	450000	0	0	0	1440	293	5	4	0	BomberTower	Bomber Tower	3	1
4	3	16	21	690	900000	0	0	0	2880	415	6	4	0	BomberTower	Bomber Tower	3	1
4	4	20	26	720	1600000	0	0	0	4320	509	7	4	0	BomberTower	Bomber Tower	3	1
4	5	24	31	760	2450000	0	0	0	5760	587	8	4	0	BomberTower	Bomber Tower	3	1
4	6	32	42	800	3350000	0	0	0	7200	720	8	4	0	BomberTower	Bomber Tower	3	1
4	7	40	52	840	6700000	0	0	0	10080	777	9	4	0	BomberTower	Bomber Tower	3	1
5	1	34	20	600	1250000	0	0	0	2880	415	7	4	0	HiddenDartBlower	Hidden Dart Blower	2	1
5	2	40	24	630	1562500	0	0	0	5760	587	7	4	0	HiddenDartBlower	Hidden Dart Blower	2	1
5	3	48	29	660	1875000	0	0	0	8640	720	7	4	0	HiddenDartBlower	Hidden Dart Blower	2	1
5	4	55	33	690	2500000	0	0	0	11520	831	8	4	0	HiddenDartBlower	Hidden Dart Blower	2	1
5	5	64	38	730	3125000	0	0	0	14400	929	8	4	0	HiddenDartBlower	Hidden Dart Blower	2	1
5	6	75	45	770	3750000	0	0	0	17280	1018	8	4	0	HiddenDartBlower	Hidden Dart Blower	2	1
6	1	50	6	1500	3750000	0	0	0	10080	777	9	4	62500	AutoCannon	AutoCannon	3	1
6	2	60	8	1900	6250000	0	0	0	14400	929	9	4	75000	AutoCannon	AutoCannon	3	1
6	3	75	10	2400	8750000	0	0	0	20160	1099	9	4	87500	AutoCannon	AutoCannon	3	1
7	1	0	0	300	250	0	0	0	0	0	2	4	0	Walls	Wall	1	0
7	2	0	0	500	1250	0	0	0	0	0	2	4	0	Walls	Wall	1	0
7	3	0	0	700	6250	0	0	0	0	0	3	4	0	Walls	Wall	1	0
7	4	0	0	900	12500	0	0	0	0	0	4	4	0	Walls	Wall	1	0
7	5	0	0	1400	37500	0	0	0	0	0	5	4	0	Walls	Wall	1	0
7	6	0	0	2000	93750	0	0	0	0	0	6	4	0	Walls	Wall	1	0
7	7	0	0	2500	250000	0	0	0	0	0	7	4	0	Walls	Wall	1	0
7	8	0	0	3000	625000	0	0	0	0	0	8	4	0	Walls	Wall	1	0
7	9	0	0	4000	1250000	0	0	0	0	0	9	4	0	Walls	Wall	1	0
7	10	0	0	5500	3750000	0	0	0	0	0	9	4	0	Walls	Wall	1	0
8	1	12	12	0	500	0	0	0	0	0	2	4	0	StickOfTNT	Stick Of TNT	1	0
9	1	1000	1000	0	2500	0	0	0	0	0	4	4	0	QuickSand	QuickSand	1	0
10	1	175	175	0	15625	0	0	0	0	0	6	4	0	CrateOfTNT	Crate Of TNT	2	0
11	1	100	100	0	5000	0	0	0	0	0	5	4	0	PigeonBomb	Pigeon Bomb	1	0
12	1	1500	1500	0	187500	0	0	0	0	0	7	4	0	KamikazePigeon	Kamikaze Pigeon	1	0
