userId	User Name	Clan Id	Chat messages	Time (PT)	Time (UTC)
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'ولا اقولك انت تستاهل الصراحة ، باعطيك الحين وبادرب لي انا بعدين	2014-07-21 08:59:00	2014-07-21 15:59:00
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'لا لا	2014-07-21 08:59:30	2014-07-21 15:59:30
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'دربي اول حاجه	2014-07-21 08:59:55	2014-07-21 15:59:55
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'طرشتلك بنادق 	2014-07-21 09:00:10	2014-07-21 16:00:10
31_196e8598-bcab-11e3-a92c-12313b09a242	RASHID	31_11	'وين الدعم؟	2014-07-21 16:30:23	2014-07-21 23:30:23
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'اذا تبي بعد كلمني 	2014-07-21 09:00:21	2014-07-21 16:00:21
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'تسلمي	2014-07-21 09:01:18	2014-07-21 16:01:18
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'كلك ذوووق	2014-07-21 09:01:25	2014-07-21 16:01:25
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'الله يسلمك 	2014-07-21 09:01:36	2014-07-21 16:01:36
31_ba334af7-be85-11e3-a92c-12313b09a242	الغشامية	31_11	'يصلح رامي سهم ؟	2014-07-21 10:22:46	2014-07-21 17:22:46
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'حاظرين لك يالشيخ 	2014-07-21 09:01:43	2014-07-21 16:01:43
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'ههههههه	2014-07-21 09:01:55	2014-07-21 16:01:55
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'حمزة مو شيخ	2014-07-21 09:02:05	2014-07-21 16:02:05
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'ان شاء لله 	2014-07-21 09:02:25	2014-07-21 16:02:25
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'وين الشباب؟!	2014-07-21 09:04:00	2014-07-21 16:04:00
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'مختفين... او الصيام مأثر عليهم	2014-07-21 09:04:21	2014-07-21 16:04:21
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'مادري والله 	2014-07-21 09:04:25	2014-07-21 16:04:25
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'الظاهر الصيام مأثر عليهم ههه	2014-07-21 09:04:43	2014-07-21 16:04:43
29_e9017d29-b17f-11e3-99ce-22000ad02fa9	DAMAR	31_11	'شباب عندي سوال	2014-07-21 12:05:27	2014-07-21 19:05:27
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'الحين كل واحد منسدح بعد الفطور	2014-07-21 09:04:59	2014-07-21 16:04:59
29_e9017d29-b17f-11e3-99ce-22000ad02fa9	DAMAR	31_11	'كم لازم اجمع خناجري عشان يعطوني الكوخ	2014-07-21 12:05:41	2014-07-21 19:05:41
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'هههه	2014-07-21 09:05:03	2014-07-21 16:05:03
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'اييي ، ههههه	2014-07-21 09:05:24	2014-07-21 16:05:24
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'انا بطلع الحين.. نلتقي بعدين ان شاء الله	2014-07-21 09:07:49	2014-07-21 16:07:49
31_7e8ad424-d85a-11e3-b281-22000ad2b690	آم قبرين	31_11	'اوكي ، الله يحفظك 	2014-07-21 09:08:09	2014-07-21 16:08:09
31_ba334af7-be85-11e3-a92c-12313b09a242	الغشامية	31_11	'تسلمين جواهر 	2014-07-20 17:12:02	2014-07-21 00:12:02
29_e6aa4cda-aedd-11e3-99ce-22000ad02fa9	حمزة	31_11	'في حفظ الرحمن	2014-07-21 09:08:20	2014-07-21 16:08:20
31_5975839d-ce23-11e3-a92c-12313b09a242	فارس	31_11	'السلام عليكم	2014-07-21 09:11:19	2014-07-21 16:11:19
29_815d3691-b1c9-11e3-99ce-22000ad02fa9	البراري	31_11	'السلام عليكم 	2014-07-21 13:14:08	2014-07-21 20:14:08
31_b47eccab-0795-11e4-b281-22000ad2b690	الجواهر	31_11	'الله يسلمك	2014-07-20 17:18:31	2014-07-21 00:18:31
31_ba334af7-be85-11e3-a92c-12313b09a242	الغشامية	31_11	'انا بنت 	2014-07-20 17:21:11	2014-07-21 00:21:11
31_b47eccab-0795-11e4-b281-22000ad2b690	الجواهر	31_11	'ياهلا بج	2014-07-20 17:37:54	2014-07-21 00:37:54
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'السلام عليكم	2014-07-20 20:18:55	2014-07-21 03:18:55
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'في احد	2014-07-20 20:19:16	2014-07-21 03:19:16
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'جو هلي12345	2014-07-20 20:20:26	2014-07-21 03:20:26
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	' انا حاربتك 	2014-07-20 20:20:32	2014-07-21 03:20:32
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'جبت عليك ميه بل ميه	2014-07-20 20:20:44	2014-07-21 03:20:44
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'ههههههههه	2014-07-20 20:20:49	2014-07-21 03:20:49
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'وراكم ساكتين	2014-07-20 20:21:06	2014-07-21 03:21:06
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'قهر	2014-07-20 20:21:38	2014-07-21 03:21:38
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'الووووووووو	2014-07-20 20:21:42	2014-07-21 03:21:42
31_10e0439f-09f2-11e4-b281-22000ad2b690	الجويه	31_117	'تكفون ردو	2014-07-20 20:21:51	2014-07-21 03:21:51
31_36e198d3-0375-11e4-b281-22000ad2b690	العشيره الغاليه	31_344	'عبود	2014-07-21 07:47:02	2014-07-21 14:47:02
31_36e198d3-0375-11e4-b281-22000ad2b690	العشيره الغاليه	31_344	'يا امير القبيله	2014-07-21 07:47:22	2014-07-21 14:47:22
31_33292d43-df4c-11e3-b281-22000ad2b690	قبيلة ال نجم	31_344	'لوسمحو انااسف	2014-07-21 16:11:59	2014-07-21 23:11:59
31_33292d43-df4c-11e3-b281-22000ad2b690	قبيلة ال نجم	31_344	'ممكن القوات	2014-07-21 16:12:47	2014-07-21 23:12:47
31_023976b7-fb17-11e3-b281-22000ad2b690	DOOM_AL_W7SH	31_344	'وعليكم السلام	2014-07-21 09:11:12	2014-07-21 16:11:12
31_e8a48477-0168-11e4-b281-22000ad2b690	الامبراطوري 27	31_344	'تم دعم الجميع	2014-07-21 01:22:52	2014-07-21 08:22:52
31_20d7196c-0163-11e4-b281-22000ad2b690	أبوعلي ٦٦٦	31_395	'ادعم عشان ندعمك	2014-07-21 09:34:05	2014-07-21 16:34:05
31_f5e17139-0d28-11e4-b281-22000ad2b690	مافيا	31_395	'عيال تكفون اي شي 	2014-07-21 07:08:55	2014-07-21 14:08:55
31_f5e17139-0d28-11e4-b281-22000ad2b690	مافيا	31_395	'شكرا	2014-07-21 07:12:41	2014-07-21 14:12:41
31_4d898fdf-d767-11e3-b281-22000ad2b690	SAIF ALZADJALI	31_395	'دعمت الكل	2014-07-21 07:13:10	2014-07-21 14:13:10
31_4d898fdf-d767-11e3-b281-22000ad2b690	SAIF ALZADJALI	31_395	'عفواً	2014-07-21 07:13:16	2014-07-21 14:13:16
31_4d898fdf-d767-11e3-b281-22000ad2b690	SAIF ALZADJALI	31_395	'اوك 	2014-07-21 07:13:34	2014-07-21 14:13:34
31_4d898fdf-d767-11e3-b281-22000ad2b690	SAIF ALZADJALI	31_395	'انا اديد دعم	2014-07-21 07:13:43	2014-07-21 14:13:43
31_4d898fdf-d767-11e3-b281-22000ad2b690	SAIF ALZADJALI	31_395	'انا اريد دعم	2014-07-21 07:14:10	2014-07-21 14:14:10
31_f5e17139-0d28-11e4-b281-22000ad2b690	مافيا	31_395	'ياعيال فيه ناس وكر رامي السهام عندهم لفل ١١ والديوان حقة لفل 6 او 5 شلون	2014-07-21 07:48:51	2014-07-21 14:48:51
31_94a23b7a-e25a-11e3-b281-22000ad2b690	QWERTYUIOP	31_395	'شباب ابي دعم	2014-07-21 10:19:06	2014-07-21 17:19:06
31_94a23b7a-e25a-11e3-b281-22000ad2b690	QWERTYUIOP	31_395	'الووو	2014-07-21 10:19:20	2014-07-21 17:19:20
31_94a23b7a-e25a-11e3-b281-22000ad2b690	QWERTYUIOP	31_395	'شباب	2014-07-21 10:19:25	2014-07-21 17:19:25
31_94a23b7a-e25a-11e3-b281-22000ad2b690	QWERTYUIOP	31_395	'الووو	2014-07-21 10:19:38	2014-07-21 17:19:38
31_94a23b7a-e25a-11e3-b281-22000ad2b690	QWERTYUIOP	31_395	'شباب ابي دعم	2014-07-21 10:25:59	2014-07-21 17:25:59
31_96507cad-ff9d-11e3-b281-22000ad2b690	FAISAL5645	31_395	'شكرا	2014-07-20 17:12:24	2014-07-21 00:12:24
31_1cd32d81-0630-11e4-b281-22000ad2b690	BAHA	31_395	'عفوا	2014-07-20 17:12:34	2014-07-21 00:12:34
31_96507cad-ff9d-11e3-b281-22000ad2b690	FAISAL5645	31_395	'تبي كلاب	2014-07-20 17:13:17	2014-07-21 00:13:17
31_1cd32d81-0630-11e4-b281-22000ad2b690	BAHA	31_395	'ايوه عادي	2014-07-20 17:13:58	2014-07-21 00:13:58
31_74b4ee7c-ef32-11e3-b281-22000ad2b690	_XKAWTHAR	31_395	'انا ابي اذا ماعليك امر 	2014-07-20 17:17:05	2014-07-21 00:17:05
31_5c1ae685-eff4-11e3-b281-22000ad2b690	باسهل	31_440	'وعليكم السلام و رحمة الله و بركاته	2014-07-21 07:54:40	2014-07-21 14:54:40
31_5c1ae685-eff4-11e3-b281-22000ad2b690	باسهل	31_440	'مرحبا بكم في قبيلة ال باسهل	2014-07-21 07:55:08	2014-07-21 14:55:08
31_a6ac65a9-0eda-11e4-b281-22000ad2b690	WARRIOR X OMAR	31_440	'باسهل	2014-07-21 11:33:30	2014-07-21 18:33:30
31_5c1ae685-eff4-11e3-b281-22000ad2b690	باسهل	31_440	'هلا	2014-07-21 13:08:51	2014-07-21 20:08:51
31_a6ac65a9-0eda-11e4-b281-22000ad2b690	WARRIOR X OMAR	31_440	'السلام عليكم و رحمة الله و بركاته 	2014-07-20 20:41:31	2014-07-21 03:41:31
31_cb3e37f0-070a-11e4-b281-22000ad2b690	رائد أمين	31_454	'عساك ذخر	2014-07-21 04:34:55	2014-07-21 11:34:55
31_cb3e37f0-070a-11e4-b281-22000ad2b690	رائد أمين	31_454	'الزير ىالله ماتعرفنا على اسمك	2014-07-21 04:35:07	2014-07-21 11:35:07
31_cb3e37f0-070a-11e4-b281-22000ad2b690	رائد أمين	31_454	'جاري تطوير الاسهم	2014-07-21 04:41:31	2014-07-21 11:41:31
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'يسلمووو	2014-07-21 05:41:37	2014-07-21 12:41:37
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'شيوخ وين الدعم 	2014-07-20 18:06:40	2014-07-21 01:06:40
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'ههههه	2014-07-20 18:20:48	2014-07-21 01:20:48
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'ف حد موجود	2014-07-20 18:22:44	2014-07-21 01:22:44
31_732bd3e4-00bb-11e4-b281-22000ad2b690	ABOODY123	31_454	'انا	2014-07-20 18:22:50	2014-07-21 01:22:50
31_732bd3e4-00bb-11e4-b281-22000ad2b690	ABOODY123	31_454	'شكراً	2014-07-20 18:23:02	2014-07-21 01:23:02
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'يالس ارتب لك ابا حد يدعمك ابو اسهم	2014-07-20 18:23:15	2014-07-21 01:23:15
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'ادعم تحت 	2014-07-20 18:23:30	2014-07-21 01:23:30
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'ريال يبا ابو اسهم	2014-07-20 18:23:37	2014-07-21 01:23:37
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'هلا	2014-07-20 18:23:39	2014-07-21 01:23:39
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'اهلين عبوود حبيبي	2014-07-20 18:23:56	2014-07-21 01:23:56
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'وينك مختفي 	2014-07-20 18:24:01	2014-07-21 01:24:01
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'شايف دعمك يالامير بس كم ما خذ ماخذ ١.٥٠٠ 	2014-07-21 14:15:27	2014-07-21 21:15:27
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'انت المختفي	2014-07-20 18:24:15	2014-07-21 01:24:15
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'اذا تبي غير العمالقه قول لاني قاعد اطور ساحة التدريب	2014-07-21 14:16:13	2014-07-21 21:16:13
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'ماطلع الى وقت الصبح	2014-07-20 18:24:16	2014-07-21 01:24:16
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'الي يجي من الشيوخ حلو 	2014-07-21 14:17:23	2014-07-21 21:17:23
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'انا كل شوي ادش	2014-07-20 18:24:29	2014-07-21 01:24:29
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'ماكو فرق بينا يالامير 	2014-07-21 14:17:55	2014-07-21 21:17:55
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'ماحصلك	2014-07-20 18:24:33	2014-07-21 01:24:33
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'الفزعه تصميمك من فوق يقدرون بهجمون عليك 	2014-07-21 14:18:24	2014-07-21 21:18:24
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'هلا	2014-07-21 15:29:45	2014-07-21 22:29:45
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'اقولك اسامه وعزووز ليش مايشاركون	2014-07-20 18:24:53	2014-07-21 01:24:53
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'هلا هلا رائد	2014-07-21 05:57:01	2014-07-21 12:57:01
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'ماادري	2014-07-20 18:25:13	2014-07-21 01:25:13
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'اشكرك ع الاهتمام بس من تظر اخلص الديوان وباغير التشكيله 	2014-07-21 14:19:31	2014-07-21 21:19:31
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'اذا مابيشاركو بنطردهم 	2014-07-20 18:25:54	2014-07-21 01:25:54
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'موفق 	2014-07-21 14:20:23	2014-07-21 21:20:23
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'لانهم مايسون شي 	2014-07-20 18:26:04	2014-07-21 01:26:04
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'مايدعمون	2014-07-20 18:26:09	2014-07-21 01:26:09
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'لحظه بجهز لك	2014-07-21 06:00:41	2014-07-21 13:00:41
31_cb3e37f0-070a-11e4-b281-22000ad2b690	رائد أمين	31_454	'هلا	2014-07-21 15:30:27	2014-07-21 22:30:27
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'ما نقدر معهم شيخ	2014-07-20 18:26:39	2014-07-21 01:26:39
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'برب صلاه	2014-07-20 18:27:18	2014-07-21 01:27:18
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'يسلموو	2014-07-21 06:06:28	2014-07-21 13:06:28
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'بوجودكم ياشيوخ با نتوفق باذن الله	2014-07-21 14:24:05	2014-07-21 21:24:05
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'ترا هاي عطني وعطني شيخ واخر شي مايدعمون	2014-07-20 18:27:34	2014-07-21 01:27:34
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'تقل الله	2014-07-20 18:27:40	2014-07-21 01:27:40
31_373348ac-052f-11e4-b281-22000ad2b690	FADI ALASMRI	31_454	'السلام عليكم	2014-07-20 18:30:18	2014-07-21 01:30:18
31_cb3e37f0-070a-11e4-b281-22000ad2b690	رائد أمين	31_454	'حد يبي دعم	2014-07-21 14:43:11	2014-07-21 21:43:11
31_cb3e37f0-070a-11e4-b281-22000ad2b690	رائد أمين	31_454	'حد يبي دعم	2014-07-21 15:31:12	2014-07-21 22:31:12
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'وعليكم سلام	2014-07-20 18:35:36	2014-07-21 01:35:36
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'رئد ما اقدر ادعمك اسف ابهجم	2014-07-21 15:31:13	2014-07-21 22:31:13
31_373348ac-052f-11e4-b281-22000ad2b690	FADI ALASMRI	31_454	'اخبارك	2014-07-20 18:39:30	2014-07-21 01:39:30
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'انا فل	2014-07-21 15:31:24	2014-07-21 22:31:24
31_cb3e37f0-070a-11e4-b281-22000ad2b690	رائد أمين	31_454	'لا عادي	2014-07-21 15:31:52	2014-07-21 22:31:52
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'برب هجوم	2014-07-21 15:32:16	2014-07-21 22:32:16
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'برب 	2014-07-21 15:36:44	2014-07-21 22:36:44
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'تشكورات	2014-07-21 08:14:48	2014-07-21 15:14:48
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'شباب شي دعم	2014-07-21 09:51:51	2014-07-21 16:51:51
31_81f3b7b9-06a4-11e4-b281-22000ad2b690	قاسم	31_454	'هلا	2014-07-21 15:59:46	2014-07-21 22:59:46
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'شكرا	2014-07-20 17:02:32	2014-07-21 00:02:32
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'تشكر ياطويل العمر 	2014-07-20 17:05:26	2014-07-21 00:05:26
31_25aed416-fe4e-11e3-b281-22000ad2b690	ABOOD29292	31_454	'هلا بك	2014-07-21 16:00:44	2014-07-21 23:00:44
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'العفو حبيبي	2014-07-20 17:05:38	2014-07-21 00:05:38
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'سلام عليكم 	2014-07-20 17:06:07	2014-07-21 00:06:07
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'وعليكم سلام	2014-07-20 17:06:16	2014-07-21 00:06:16
31_f65004ca-063c-11e4-b281-22000ad2b690	TROOKI	31_454	'السلام عليكم 	2014-07-20 17:06:16	2014-07-21 00:06:16
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'وعليكم يا هلا	2014-07-20 17:06:26	2014-07-21 00:06:26
31_771fb931-04bb-11e4-b281-22000ad2b690	TURKY2014	31_454	'شكرن	2014-07-21 10:01:58	2014-07-21 17:01:58
31_f65004ca-063c-11e4-b281-22000ad2b690	TROOKI	31_454	'شلونكم 	2014-07-20 17:06:37	2014-07-21 00:06:37
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'العفو	2014-07-21 10:02:12	2014-07-21 17:02:12
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'اهلين وسهلين	2014-07-20 17:06:38	2014-07-21 00:06:38
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'الحمدالله 	2014-07-20 17:06:44	2014-07-21 00:06:44
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'نحمدالله وانن	2014-07-20 17:06:51	2014-07-21 00:06:51
31_f65004ca-063c-11e4-b281-22000ad2b690	TROOKI	31_454	'دوم يا رب	2014-07-20 17:06:51	2014-07-21 00:06:51
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'انت شلونك	2014-07-20 17:06:52	2014-07-21 00:06:52
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'انت 	2014-07-20 17:06:54	2014-07-21 00:06:54
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'وياك حبييي	2014-07-20 17:06:58	2014-07-21 00:06:58
31_f65004ca-063c-11e4-b281-22000ad2b690	TROOKI	31_454	'الحمد لله بخير 	2014-07-20 17:07:00	2014-07-21 00:07:00
31_5b525714-0100-11e4-b281-22000ad2b690	BOOOM	31_454	'دووم يارب	2014-07-20 17:07:06	2014-07-21 00:07:06
31_f65004ca-063c-11e4-b281-22000ad2b690	TROOKI	31_454	'وياك 	2014-07-20 17:07:19	2014-07-21 00:07:19
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	31_454	'كيف الهجوم معكم	2014-07-20 17:07:34	2014-07-21 00:07:34
31_b398fafb-07eb-11e4-b281-22000ad2b690	ال فزعه	31_454	'شباب ابي دعم 	2014-07-21 10:16:37	2014-07-21 17:16:37
31_f65004ca-063c-11e4-b281-22000ad2b690	TROOKI	31_454	'بوم طورت الديوان لفل ٢	2014-07-20 17:07:37	2014-07-21 00:07:37
