ServerIp	CCU	CreatedAt (PDT)	CreatedAt (UTC)
54.75.238.163	1137	2014-10-19 18:19:52	2014-10-20 01:19:52
54.75.238.163	1146	2014-10-19 18:20:52	2014-10-20 01:20:52
54.75.238.163	1138	2014-10-19 18:21:52	2014-10-20 01:21:52
54.75.238.163	1125	2014-10-19 18:23:22	2014-10-20 01:23:22
54.75.238.163	1102	2014-10-19 18:24:22	2014-10-20 01:24:22
54.75.238.163	1090	2014-10-19 18:25:52	2014-10-20 01:25:52
54.75.238.163	1085	2014-10-19 18:26:52	2014-10-20 01:26:52
54.75.238.163	1108	2014-10-19 18:27:52	2014-10-20 01:27:52
54.75.238.163	1092	2014-10-19 18:29:22	2014-10-20 01:29:22
54.75.238.163	1099	2014-10-19 18:30:22	2014-10-20 01:30:22
54.75.238.163	1092	2014-10-19 18:31:52	2014-10-20 01:31:52
54.75.238.163	1091	2014-10-19 18:33:22	2014-10-20 01:33:22
54.75.238.163	1122	2014-10-19 18:34:22	2014-10-20 01:34:22
54.75.238.163	1112	2014-10-19 18:35:22	2014-10-20 01:35:22
54.75.238.163	1103	2014-10-19 18:36:22	2014-10-20 01:36:22
54.75.238.163	1087	2014-10-19 18:37:22	2014-10-20 01:37:22
54.75.238.163	1107	2014-10-19 18:38:52	2014-10-20 01:38:52
54.75.238.163	1109	2014-10-19 18:39:52	2014-10-20 01:39:52
54.75.238.163	1095	2014-10-19 18:40:52	2014-10-20 01:40:52
54.75.238.163	1096	2014-10-19 18:41:52	2014-10-20 01:41:52
54.75.238.163	1097	2014-10-19 18:42:52	2014-10-20 01:42:52
54.75.238.163	1088	2014-10-19 18:43:52	2014-10-20 01:43:52
54.75.238.163	1067	2014-10-19 18:44:52	2014-10-20 01:44:52
54.75.238.163	1073	2014-10-19 18:45:52	2014-10-20 01:45:52
54.75.238.163	1073	2014-10-19 18:46:52	2014-10-20 01:46:52
54.75.238.163	1073	2014-10-19 18:47:52	2014-10-20 01:47:52
54.75.238.163	1063	2014-10-19 18:48:52	2014-10-20 01:48:52
54.75.238.163	1073	2014-10-19 18:50:22	2014-10-20 01:50:22
54.75.238.163	1069	2014-10-19 18:51:52	2014-10-20 01:51:52
54.75.238.163	1066	2014-10-19 18:52:52	2014-10-20 01:52:52
54.75.238.163	1048	2014-10-19 18:53:52	2014-10-20 01:53:52
54.75.238.163	1046	2014-10-19 18:54:52	2014-10-20 01:54:52
54.75.238.163	1058	2014-10-19 18:55:52	2014-10-20 01:55:52
54.75.238.163	1077	2014-10-19 18:56:52	2014-10-20 01:56:52
54.75.238.163	1056	2014-10-19 18:57:52	2014-10-20 01:57:52
54.75.238.163	1053	2014-10-19 18:58:52	2014-10-20 01:58:52
54.75.238.163	1060	2014-10-19 18:59:52	2014-10-20 01:59:52
54.75.238.163	1040	2014-10-19 19:00:52	2014-10-20 02:00:52
54.75.238.163	1032	2014-10-19 19:01:52	2014-10-20 02:01:52
54.75.238.163	1049	2014-10-19 19:03:22	2014-10-20 02:03:22
54.75.238.163	1066	2014-10-19 19:04:22	2014-10-20 02:04:22
54.75.238.163	1081	2014-10-19 19:05:22	2014-10-20 02:05:22
54.75.238.163	1069	2014-10-19 19:06:22	2014-10-20 02:06:22
54.75.238.163	1082	2014-10-19 19:07:22	2014-10-20 02:07:22
54.75.238.163	1080	2014-10-19 19:08:22	2014-10-20 02:08:22
54.75.238.163	1069	2014-10-19 19:09:22	2014-10-20 02:09:22
54.75.238.163	1064	2014-10-19 19:10:22	2014-10-20 02:10:22
54.75.238.163	1063	2014-10-19 19:11:22	2014-10-20 02:11:22
54.75.238.163	1064	2014-10-19 19:12:22	2014-10-20 02:12:22
54.75.238.163	1023	2014-10-19 19:13:22	2014-10-20 02:13:22
54.75.238.163	1033	2014-10-19 19:14:22	2014-10-20 02:14:22
54.75.238.163	1014	2014-10-19 19:15:22	2014-10-20 02:15:22
54.75.238.163	1016	2014-10-19 19:16:22	2014-10-20 02:16:22
54.75.238.163	1019	2014-10-19 19:17:22	2014-10-20 02:17:22
54.75.238.163	1091	2014-10-19 19:18:52	2014-10-20 02:18:52
54.75.238.163	1106	2014-10-19 19:19:52	2014-10-20 02:19:52
54.75.238.163	1147	2014-10-19 19:20:52	2014-10-20 02:20:52
54.75.238.163	1135	2014-10-19 19:22:22	2014-10-20 02:22:22
54.75.238.163	1143	2014-10-19 19:23:22	2014-10-20 02:23:22
54.75.238.163	1157	2014-10-19 19:24:22	2014-10-20 02:24:22
54.75.238.163	1177	2014-10-19 19:25:22	2014-10-20 02:25:22
54.75.238.163	1169	2014-10-19 19:26:52	2014-10-20 02:26:52
54.75.238.163	1186	2014-10-19 19:27:52	2014-10-20 02:27:52
54.75.238.163	1184	2014-10-19 19:28:52	2014-10-20 02:28:52
54.75.238.163	1172	2014-10-19 19:30:22	2014-10-20 02:30:22
54.75.238.163	1191	2014-10-19 19:31:22	2014-10-20 02:31:22
54.75.238.163	1207	2014-10-19 19:32:52	2014-10-20 02:32:52
54.75.238.163	1206	2014-10-19 19:33:52	2014-10-20 02:33:52
54.75.238.163	1206	2014-10-19 19:34:52	2014-10-20 02:34:52
54.75.238.163	1211	2014-10-19 19:35:52	2014-10-20 02:35:52
54.75.238.163	1215	2014-10-19 19:36:52	2014-10-20 02:36:52
54.75.238.163	1208	2014-10-19 19:37:52	2014-10-20 02:37:52
54.75.238.163	1208	2014-10-19 19:38:53	2014-10-20 02:38:53
54.75.238.163	1214	2014-10-19 19:39:53	2014-10-20 02:39:53
54.75.238.163	1244	2014-10-19 19:41:23	2014-10-20 02:41:23
54.75.238.163	1230	2014-10-19 19:42:23	2014-10-20 02:42:23
54.75.238.163	1232	2014-10-19 19:43:23	2014-10-20 02:43:23
54.75.238.163	1248	2014-10-19 19:44:23	2014-10-20 02:44:23
54.75.238.163	1293	2014-10-19 19:45:23	2014-10-20 02:45:23
54.75.238.163	1315	2014-10-19 19:46:23	2014-10-20 02:46:23
54.75.238.163	1306	2014-10-19 19:47:23	2014-10-20 02:47:23
54.75.238.163	1301	2014-10-19 19:48:23	2014-10-20 02:48:23
54.75.238.163	1293	2014-10-19 19:49:23	2014-10-20 02:49:23
54.75.238.163	1305	2014-10-19 19:50:23	2014-10-20 02:50:23
54.75.238.163	1335	2014-10-19 19:51:23	2014-10-20 02:51:23
54.75.238.163	1347	2014-10-19 19:52:23	2014-10-20 02:52:23
54.75.238.163	1346	2014-10-19 19:53:23	2014-10-20 02:53:23
54.75.238.163	1332	2014-10-19 19:54:23	2014-10-20 02:54:23
54.75.238.163	1360	2014-10-19 19:55:23	2014-10-20 02:55:23
54.75.238.163	1364	2014-10-19 19:56:23	2014-10-20 02:56:23
54.75.238.163	1331	2014-10-19 19:57:23	2014-10-20 02:57:23
54.75.238.163	1349	2014-10-19 19:58:53	2014-10-20 02:58:53
54.75.238.163	1357	2014-10-19 19:59:53	2014-10-20 02:59:53
54.75.238.163	1351	2014-10-19 20:00:53	2014-10-20 03:00:53
54.75.238.163	1322	2014-10-19 20:01:53	2014-10-20 03:01:53
54.75.238.163	1346	2014-10-19 20:02:53	2014-10-20 03:02:53
54.75.238.163	1337	2014-10-19 20:03:53	2014-10-20 03:03:53
54.75.238.163	1344	2014-10-19 20:04:53	2014-10-20 03:04:53
54.75.238.163	1329	2014-10-19 20:05:53	2014-10-20 03:05:53
54.75.238.163	1358	2014-10-19 20:06:53	2014-10-20 03:06:53
54.75.238.163	1338	2014-10-19 20:07:53	2014-10-20 03:07:53
54.75.238.163	1316	2014-10-19 20:08:53	2014-10-20 03:08:53
54.75.238.163	1312	2014-10-19 20:09:53	2014-10-20 03:09:53
54.75.238.163	1322	2014-10-19 20:10:53	2014-10-20 03:10:53
54.75.238.163	1321	2014-10-19 20:11:53	2014-10-20 03:11:53
54.75.238.163	1329	2014-10-19 20:12:53	2014-10-20 03:12:53
54.75.238.163	1344	2014-10-19 20:13:53	2014-10-20 03:13:53
54.75.238.163	1338	2014-10-19 20:14:53	2014-10-20 03:14:53
54.75.238.163	1313	2014-10-19 20:15:53	2014-10-20 03:15:53
54.75.238.163	1286	2014-10-19 20:16:53	2014-10-20 03:16:53
54.75.238.163	1309	2014-10-19 20:17:53	2014-10-20 03:17:53
54.75.238.163	1324	2014-10-19 20:18:53	2014-10-20 03:18:53
54.75.238.163	1338	2014-10-19 20:19:53	2014-10-20 03:19:53
54.75.238.163	1338	2014-10-19 20:20:53	2014-10-20 03:20:53
54.75.238.163	1368	2014-10-19 20:21:53	2014-10-20 03:21:53
54.75.238.163	1354	2014-10-19 20:22:53	2014-10-20 03:22:53
54.75.238.163	1375	2014-10-19 20:23:53	2014-10-20 03:23:53
54.75.238.163	1377	2014-10-19 20:24:53	2014-10-20 03:24:53
54.75.238.163	1391	2014-10-19 20:26:23	2014-10-20 03:26:23
54.75.238.163	1384	2014-10-19 20:27:23	2014-10-20 03:27:23
54.75.238.163	1382	2014-10-19 20:28:23	2014-10-20 03:28:23
54.75.238.163	1354	2014-10-19 20:29:23	2014-10-20 03:29:23
54.75.238.163	1334	2014-10-19 20:30:23	2014-10-20 03:30:23
54.75.238.163	1320	2014-10-19 20:31:23	2014-10-20 03:31:23
54.75.238.163	1316	2014-10-19 20:32:23	2014-10-20 03:32:23
54.75.238.163	1308	2014-10-19 20:33:23	2014-10-20 03:33:23
54.75.238.163	1295	2014-10-19 20:34:23	2014-10-20 03:34:23
54.75.238.163	1338	2014-10-19 20:35:23	2014-10-20 03:35:23
54.75.238.163	1344	2014-10-19 20:36:53	2014-10-20 03:36:53
54.75.238.163	1315	2014-10-19 20:37:53	2014-10-20 03:37:53
54.75.238.163	1292	2014-10-19 20:38:53	2014-10-20 03:38:53
54.75.238.163	1308	2014-10-19 20:39:53	2014-10-20 03:39:53
54.75.238.163	1301	2014-10-19 20:40:53	2014-10-20 03:40:53
54.75.238.163	1283	2014-10-19 20:41:53	2014-10-20 03:41:53
54.75.238.163	1291	2014-10-19 20:42:53	2014-10-20 03:42:53
54.75.238.163	1278	2014-10-19 20:43:53	2014-10-20 03:43:53
54.75.238.163	1252	2014-10-19 20:44:53	2014-10-20 03:44:53
54.75.238.163	1258	2014-10-19 20:46:23	2014-10-20 03:46:23
54.75.238.163	1244	2014-10-19 20:47:23	2014-10-20 03:47:23
54.75.238.163	1247	2014-10-19 20:48:53	2014-10-20 03:48:53
54.75.238.163	1244	2014-10-19 20:49:53	2014-10-20 03:49:53
54.75.238.163	1243	2014-10-19 20:50:53	2014-10-20 03:50:53
54.75.238.163	1248	2014-10-19 20:51:53	2014-10-20 03:51:53
54.75.238.163	1259	2014-10-19 20:53:23	2014-10-20 03:53:23
54.75.238.163	1263	2014-10-19 20:54:53	2014-10-20 03:54:53
54.75.238.163	1279	2014-10-19 20:55:53	2014-10-20 03:55:53
54.75.238.163	1277	2014-10-19 20:56:53	2014-10-20 03:56:53
54.75.238.163	1282	2014-10-19 20:58:23	2014-10-20 03:58:23
54.75.238.163	1279	2014-10-19 20:59:23	2014-10-20 03:59:23
54.75.238.163	1268	2014-10-19 21:00:23	2014-10-20 04:00:23
54.75.238.163	1246	2014-10-19 21:01:53	2014-10-20 04:01:53
54.75.238.163	1211	2014-10-19 21:02:53	2014-10-20 04:02:53
54.75.238.163	1196	2014-10-19 21:04:23	2014-10-20 04:04:23
54.75.238.163	1175	2014-10-19 21:05:23	2014-10-20 04:05:23
54.75.238.163	1165	2014-10-19 21:06:23	2014-10-20 04:06:23
54.75.238.163	1190	2014-10-19 21:07:53	2014-10-20 04:07:53
54.75.238.163	1205	2014-10-19 21:08:53	2014-10-20 04:08:53
54.75.238.163	1192	2014-10-19 21:09:53	2014-10-20 04:09:53
54.75.238.163	1207	2014-10-19 21:11:24	2014-10-20 04:11:24
54.75.238.163	1205	2014-10-19 21:12:24	2014-10-20 04:12:24
54.75.238.163	1259	2014-10-19 21:13:24	2014-10-20 04:13:24
54.75.238.163	1253	2014-10-19 21:14:24	2014-10-20 04:14:24
54.75.238.163	1260	2014-10-19 21:15:24	2014-10-20 04:15:24
54.75.238.163	1260	2014-10-19 21:16:24	2014-10-20 04:16:24
54.75.238.163	1256	2014-10-19 21:17:24	2014-10-20 04:17:24
54.75.238.163	1277	2014-10-19 21:18:24	2014-10-20 04:18:24
54.75.238.163	1288	2014-10-19 21:19:24	2014-10-20 04:19:24
54.75.238.163	1288	2014-10-19 21:20:54	2014-10-20 04:20:54
54.75.238.163	1290	2014-10-19 21:21:54	2014-10-20 04:21:54
54.75.238.163	1301	2014-10-19 21:22:54	2014-10-20 04:22:54
54.75.238.163	1317	2014-10-19 21:24:24	2014-10-20 04:24:24
54.75.238.163	1343	2014-10-19 21:25:24	2014-10-20 04:25:24
54.75.238.163	1315	2014-10-19 21:26:54	2014-10-20 04:26:54
54.75.238.163	1287	2014-10-19 21:27:54	2014-10-20 04:27:54
54.75.238.163	1248	2014-10-19 21:29:24	2014-10-20 04:29:24
54.75.238.163	1259	2014-10-19 21:30:24	2014-10-20 04:30:24
54.75.238.163	1266	2014-10-19 21:31:24	2014-10-20 04:31:24
54.75.238.163	1286	2014-10-19 21:32:54	2014-10-20 04:32:54
54.75.238.163	1283	2014-10-19 21:33:54	2014-10-20 04:33:54
54.75.238.163	1289	2014-10-19 21:34:54	2014-10-20 04:34:54
54.75.238.163	1295	2014-10-19 21:35:54	2014-10-20 04:35:54
54.75.238.163	1308	2014-10-19 21:36:54	2014-10-20 04:36:54
54.75.238.163	1303	2014-10-19 21:37:54	2014-10-20 04:37:54
54.75.238.163	1295	2014-10-19 21:38:54	2014-10-20 04:38:54
54.75.238.163	90	2014-10-19 21:42:00	2014-10-20 04:42:00
54.75.238.163	19	2014-10-19 21:43:24	2014-10-20 04:43:24
54.75.238.163	4	2014-10-19 21:44:24	2014-10-20 04:44:24
54.75.238.163	0	2014-10-19 22:27:11	2014-10-20 05:27:11
54.75.238.163	183	2014-10-19 22:28:12	2014-10-20 05:28:12
54.75.238.163	380	2014-10-19 22:29:11	2014-10-20 05:29:11
54.75.238.163	555	2014-10-19 22:30:12	2014-10-20 05:30:12
54.75.238.163	702	2014-10-19 22:31:11	2014-10-20 05:31:11
54.75.238.163	839	2014-10-19 22:32:11	2014-10-20 05:32:11
54.75.238.163	1003	2014-10-19 22:33:42	2014-10-20 05:33:42
54.75.238.163	1103	2014-10-19 22:34:41	2014-10-20 05:34:41
54.75.238.163	1170	2014-10-19 22:36:11	2014-10-20 05:36:11
54.75.238.163	1210	2014-10-19 22:37:11	2014-10-20 05:37:11
54.75.238.163	1226	2014-10-19 22:38:11	2014-10-20 05:38:11
54.75.238.163	1297	2014-10-19 22:39:41	2014-10-20 05:39:41
54.75.238.163	1322	2014-10-19 22:40:41	2014-10-20 05:40:41
54.75.238.163	1340	2014-10-19 22:41:41	2014-10-20 05:41:41
54.75.238.163	1343	2014-10-19 22:42:41	2014-10-20 05:42:41
54.75.238.163	1366	2014-10-19 22:43:41	2014-10-20 05:43:41
54.75.238.163	1377	2014-10-19 22:44:41	2014-10-20 05:44:41
54.75.238.163	1390	2014-10-19 22:45:41	2014-10-20 05:45:41
54.75.238.163	1391	2014-10-19 22:46:41	2014-10-20 05:46:41
54.75.238.163	1359	2014-10-19 22:47:41	2014-10-20 05:47:41
54.75.238.163	1360	2014-10-19 22:49:11	2014-10-20 05:49:11
54.75.238.163	1328	2014-10-19 22:50:12	2014-10-20 05:50:12
54.75.238.163	1351	2014-10-19 22:51:12	2014-10-20 05:51:12
54.75.238.163	1366	2014-10-19 22:52:42	2014-10-20 05:52:42
54.75.238.163	1351	2014-10-19 22:53:42	2014-10-20 05:53:42
54.75.238.163	1331	2014-10-19 22:55:12	2014-10-20 05:55:12
54.75.238.163	1368	2014-10-19 22:56:12	2014-10-20 05:56:12
54.75.238.163	1357	2014-10-19 22:57:12	2014-10-20 05:57:12
54.75.238.163	1377	2014-10-19 22:58:42	2014-10-20 05:58:42
54.75.238.163	1389	2014-10-19 22:59:42	2014-10-20 05:59:42
54.75.238.163	1390	2014-10-19 23:00:42	2014-10-20 06:00:42
54.75.238.163	1406	2014-10-19 23:01:42	2014-10-20 06:01:42
54.75.238.163	1416	2014-10-19 23:03:12	2014-10-20 06:03:12
54.75.238.163	1412	2014-10-19 23:04:12	2014-10-20 06:04:12
54.75.238.163	1407	2014-10-19 23:05:12	2014-10-20 06:05:12
54.75.238.163	1436	2014-10-19 23:06:12	2014-10-20 06:06:12
54.75.238.163	1426	2014-10-19 23:07:12	2014-10-20 06:07:12
54.75.238.163	1437	2014-10-19 23:08:12	2014-10-20 06:08:12
54.75.238.163	1418	2014-10-19 23:09:12	2014-10-20 06:09:12
54.75.238.163	1420	2014-10-19 23:10:12	2014-10-20 06:10:12
54.75.238.163	1431	2014-10-19 23:11:42	2014-10-20 06:11:42
54.75.238.163	1426	2014-10-19 23:12:42	2014-10-20 06:12:42
54.75.238.163	1436	2014-10-19 23:14:12	2014-10-20 06:14:12
54.75.238.163	1450	2014-10-19 23:15:12	2014-10-20 06:15:12
54.75.238.163	1460	2014-10-19 23:16:12	2014-10-20 06:16:12
54.75.238.163	1463	2014-10-19 23:17:42	2014-10-20 06:17:42
54.75.238.163	1462	2014-10-19 23:18:42	2014-10-20 06:18:42
54.75.238.163	1470	2014-10-19 23:20:12	2014-10-20 06:20:12
54.75.238.163	1498	2014-10-19 23:21:12	2014-10-20 06:21:12
54.75.238.163	1486	2014-10-19 23:22:12	2014-10-20 06:22:12
54.75.238.163	1486	2014-10-19 23:23:42	2014-10-20 06:23:42
54.75.238.163	1491	2014-10-19 23:24:42	2014-10-20 06:24:42
54.75.238.163	1464	2014-10-19 23:26:12	2014-10-20 06:26:12
54.75.238.163	1500	2014-10-19 23:27:12	2014-10-20 06:27:12
54.75.238.163	1488	2014-10-19 23:28:12	2014-10-20 06:28:12
54.75.238.163	1457	2014-10-19 23:29:42	2014-10-20 06:29:42
54.75.238.163	1474	2014-10-19 23:30:42	2014-10-20 06:30:42
54.75.238.163	1479	2014-10-19 23:31:42	2014-10-20 06:31:42
54.75.238.163	1432	2014-10-19 23:33:12	2014-10-20 06:33:12
54.75.238.163	1409	2014-10-19 23:34:12	2014-10-20 06:34:12
54.75.238.163	1429	2014-10-19 23:35:12	2014-10-20 06:35:12
54.75.238.163	1440	2014-10-19 23:36:42	2014-10-20 06:36:42
54.75.238.163	1488	2014-10-19 23:37:42	2014-10-20 06:37:42
54.75.238.163	1479	2014-10-19 23:39:12	2014-10-20 06:39:12
54.75.238.163	1477	2014-10-19 23:40:12	2014-10-20 06:40:12
54.75.238.163	1443	2014-10-19 23:41:12	2014-10-20 06:41:12
54.75.238.163	1471	2014-10-19 23:42:42	2014-10-20 06:42:42
54.75.238.163	1480	2014-10-19 23:43:42	2014-10-20 06:43:42
54.75.238.163	1478	2014-10-19 23:44:42	2014-10-20 06:44:42
54.75.238.163	1481	2014-10-19 23:45:42	2014-10-20 06:45:42
54.75.238.163	1473	2014-10-19 23:46:42	2014-10-20 06:46:42
54.75.238.163	1486	2014-10-19 23:47:42	2014-10-20 06:47:42
54.75.238.163	1493	2014-10-19 23:48:42	2014-10-20 06:48:42
54.75.238.163	1503	2014-10-19 23:49:43	2014-10-20 06:49:43
54.75.238.163	1492	2014-10-19 23:50:43	2014-10-20 06:50:43
54.75.238.163	1457	2014-10-19 23:51:42	2014-10-20 06:51:42
54.75.238.163	1506	2014-10-19 23:52:43	2014-10-20 06:52:43
54.75.238.163	1496	2014-10-19 23:53:43	2014-10-20 06:53:43
54.75.238.163	1469	2014-10-19 23:55:12	2014-10-20 06:55:12
54.75.238.163	1500	2014-10-19 23:56:13	2014-10-20 06:56:13
54.75.238.163	1498	2014-10-19 23:57:13	2014-10-20 06:57:13
54.75.238.163	1496	2014-10-19 23:58:12	2014-10-20 06:58:12
54.75.238.163	1482	2014-10-19 23:59:12	2014-10-20 06:59:12
54.75.238.163	1496	2014-10-20 00:00:12	2014-10-20 07:00:12
54.75.238.163	1504	2014-10-20 00:01:13	2014-10-20 07:01:13
54.75.238.163	1514	2014-10-20 00:02:12	2014-10-20 07:02:12
54.75.238.163	1504	2014-10-20 00:03:12	2014-10-20 07:03:12
54.75.238.163	1529	2014-10-20 00:04:12	2014-10-20 07:04:12
54.75.238.163	1524	2014-10-20 00:05:12	2014-10-20 07:05:12
54.75.238.163	1555	2014-10-20 00:06:42	2014-10-20 07:06:42
54.75.238.163	1556	2014-10-20 00:07:42	2014-10-20 07:07:42
54.75.238.163	1575	2014-10-20 00:08:42	2014-10-20 07:08:42
54.75.238.163	1606	2014-10-20 00:10:12	2014-10-20 07:10:12
54.75.238.163	1541	2014-10-20 00:11:12	2014-10-20 07:11:12
54.75.238.163	1545	2014-10-20 00:12:12	2014-10-20 07:12:12
54.75.238.163	1566	2014-10-20 00:13:12	2014-10-20 07:13:12
54.75.238.163	1581	2014-10-20 00:14:12	2014-10-20 07:14:12
54.75.238.163	1561	2014-10-20 00:15:12	2014-10-20 07:15:12
54.75.238.163	1574	2014-10-20 00:16:12	2014-10-20 07:16:12
54.75.238.163	1548	2014-10-20 00:17:12	2014-10-20 07:17:12
54.75.238.163	1553	2014-10-20 00:18:42	2014-10-20 07:18:42
54.75.238.163	1555	2014-10-20 00:19:42	2014-10-20 07:19:42
54.75.238.163	1552	2014-10-20 00:20:42	2014-10-20 07:20:42
54.75.238.163	1537	2014-10-20 00:21:42	2014-10-20 07:21:42
54.75.238.163	1532	2014-10-20 00:22:43	2014-10-20 07:22:43
54.75.238.163	1525	2014-10-20 00:23:43	2014-10-20 07:23:43
54.75.238.163	1533	2014-10-20 00:24:43	2014-10-20 07:24:43
54.75.238.163	1539	2014-10-20 00:25:43	2014-10-20 07:25:43
54.75.238.163	1517	2014-10-20 00:27:13	2014-10-20 07:27:13
54.75.238.163	1524	2014-10-20 00:28:13	2014-10-20 07:28:13
54.75.238.163	1555	2014-10-20 00:29:13	2014-10-20 07:29:13
54.75.238.163	1545	2014-10-20 00:30:43	2014-10-20 07:30:43
54.75.238.163	1560	2014-10-20 00:31:43	2014-10-20 07:31:43
54.75.238.163	1581	2014-10-20 00:32:43	2014-10-20 07:32:43
54.75.238.163	1596	2014-10-20 00:33:43	2014-10-20 07:33:43
54.75.238.163	1588	2014-10-20 00:34:43	2014-10-20 07:34:43
54.75.238.163	1594	2014-10-20 00:35:43	2014-10-20 07:35:43
