Type	Level	Damage per Second	Hitpoints	Training Cost (Elixir)	Upgrade Cost (Elixir)	Laboratory Level Required	Upgrade Time (hours)	Town Hall Level Required	Regeneration Time (minutes)	Upgrade Cost (Dark Elixir)	Training Cost (Dark Elixir)
Hero	28	433	4325	0	0	0	0	0	168	212500	0
Hero	29	450	4498	0	0	0	0	0	172	225000	0
Hero	30	468	4678	0	0	0	0	0	176	237500	0
Teacher	1	120	675	0	0	0	0	0	60	50000	0
Teacher	2	125	702	0	0	0	0	0	64	28125	0
Teacher	3	130	730	0	0	0	0	0	68	31250	0
Teacher	4	135	759	0	0	0	0	0	72	34375	0
Teacher	5	140	790	0	0	0	0	0	76	37500	0
Teacher	6	146	821	0	0	0	0	0	80	40625	0
Teacher	7	152	854	0	0	0	0	0	84	43750	0
Teacher	8	158	888	0	0	0	0	0	88	50000	0
Teacher	9	164	924	0	0	0	0	0	92	56250	0
Teacher	10	170	961	0	0	0	0	0	96	62500	0
Teacher	11	178	999	0	0	0	0	0	100	68750	0
Teacher	12	185	1039	0	0	0	0	0	104	75000	0
Teacher	13	192	1081	0	0	0	0	0	108	81250	0
Teacher	14	200	1124	0	0	0	0	0	112	87500	0
Teacher	15	208	1169	0	0	0	0	0	116	93750	0
Teacher	16	216	1215	0	0	0	0	0	120	100000	0
Teacher	17	225	1264	0	0	0	0	0	124	106250	0
Teacher	18	234	1315	0	0	0	0	0	128	112500	0
Teacher	19	243	1368	0	0	0	0	0	132	118750	0
Teacher	20	253	1422	0	0	0	0	0	136	125000	0
Teacher	21	263	1479	0	0	0	0	0	140	131250	0
Teacher	22	274	1538	0	0	0	0	0	144	137500	0
Teacher	23	284	1600	0	0	0	0	0	148	143750	0
Teacher	24	296	1664	0	0	0	0	0	152	150000	0
Teacher	25	307	1730	0	0	0	0	0	156	156250	0
Teacher	26	320	1800	0	0	0	0	0	160	162500	0
Teacher	27	333	1872	0	0	0	0	0	164	168750	0
Teacher	28	346	1946	0	0	0	0	0	168	175000	0
Teacher	29	360	2024	0	0	0	0	0	172	181250	0
Teacher	30	374	2105	0	0	0	0	0	176	187500	0
