Note	Type	Level	Build Cost Elixir	Build Cost Gold	Build Cost Gem	Build Time (minutes)	Experience Gained	Capacity	Production Rate	Hit Points	Town Hall level Required	Boost Cost (gems)	Max Level	Object Type	Collectable point	PrefabName	DisplayName	NumTileOneSide	HasBase
waterjug	17	8	0	62500	0	480	169	312500	0	1740	4	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	9	0	125000	0	720	207	625000	0	1820	5	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	10	0	312500	0	1440	293	1250000	0	1920	6	0	11	1	0	WaterJug	Water Jug	3	1
waterjug	17	11	0	625000	0	2880	415	2500000	0	2016	7	0	11	1	0	WaterJug	Water Jug	3	1
oilstorage	18	1	0	750000	0	1440	293	12500	0	2000	7	0	6	1	0	OilStorage	Oil Storage	3	1
oilstorage	18	2	0	1500000	0	2880	415	25000	0	2200	7	0	6	1	0	OilStorage	Oil Storage	3	1
oilstorage	18	3	0	2250000	0	4320	509	50000	0	2400	8	0	6	1	0	OilStorage	Oil Storage	3	1
oilstorage	18	4	0	3000000	0	5760	587	100000	0	2600	8	0	6	1	0	OilStorage	Oil Storage	3	1
oilstorage	18	5	0	3750000	0	7200	657	187500	0	2900	9	0	6	1	0	OilStorage	Oil Storage	3	1
oilstorage	18	6	0	4500000	0	8640	720	250000	0	3200	9	0	6	1	0	OilStorage	Oil Storage	3	1
carpentersshop	19	1	0	0	315	0	0	0	0	250	0	0	5	1	0	CarpentersShop	Carpenters Shop	2	1
carpentersshop	19	2	0	0	315	0	0	0	0	250	0	0	5	1	0	CarpentersShop	Carpenters Shop	2	1
carpentersshop	19	3	0	0	625	0	0	0	0	250	0	0	5	1	0	CarpentersShop	Carpenters Shop	2	1
carpentersshop	19	4	0	0	1250	0	0	0	0	250	0	0	5	1	0	CarpentersShop	Carpenters Shop	2	1
carpentersshop	19	5	0	0	2500	0	0	0	0	250	0	0	5	1	0	CarpentersShop	Carpenters Shop	2	1
